FID,Id,x,y,分区
0,1,112.969480458000007,28.204076548200000,风貌过渡区
1,2,112.969643700000006,28.204054682900001,风貌过渡区
2,3,112.969843699999998,28.204016718300000,风貌过渡区
3,4,112.970044113000000,28.203978675399998,风貌过渡区
4,5,112.970243699999997,28.203926137300002,风貌过渡区
5,6,112.970377975000005,28.203982851300001,风貌过渡区
6,7,112.965308339000003,28.204274762299999,商业活力区
7,8,112.965443652999994,28.204249266700000,商业活力区
8,9,112.965643700000001,28.204215151100001,商业活力区
9,10,112.965843699999994,28.204183586999999,商业活力区
10,11,112.966043256999995,28.204152092899999,商业活力区
11,12,112.966243700000007,28.204136585699999,商业活力区
12,13,112.966443699999999,28.204125763400000,商业活力区
13,14,112.966643700000006,28.204114941200000,商业活力区
14,15,112.966768454000004,28.204204006400001,商业活力区
15,16,112.967043700000005,28.204109424199999,文化核心区
16,17,112.967243699999997,28.204109860199999,文化核心区
17,18,112.967443700000004,28.204110296200000,文化核心区
18,19,112.967569088000005,28.204195266100001,文化核心区
19,20,112.967843700000003,28.204111167899999,文化核心区
20,21,112.968043699999996,28.204111603699999,文化核心区
21,22,112.968254416999997,28.204197318599999,文化核心区
22,23,112.968443699999995,28.204112475599999,文化核心区
23,24,112.968704145000004,28.204156352199998,文化核心区
24,25,112.968841816999998,28.204109504400002,风貌过渡区
25,26,112.969043702999997,28.204105023899999,风貌过渡区
26,27,112.969243700000007,28.204094841300002,风貌过渡区
27,28,112.969417340999996,28.204081424900000,风貌过渡区
28,29,112.969559493000006,28.204219155699999,风貌过渡区
29,30,112.970332545000005,28.204222564900000,风貌过渡区
30,31,112.970351496999996,28.204122564900000,风貌过渡区
31,32,112.965036593999997,28.204324805599999,商业活力区
32,33,112.965208339000000,28.204293604099998,商业活力区
33,34,112.966789425000002,28.204381424899999,商业活力区
34,35,112.967652908000005,28.204446944499999,文化核心区
35,36,112.967843700000003,28.204453166800000,文化核心区
36,37,112.968043699999996,28.204459689499998,文化核心区
37,38,112.968242477000004,28.204381345500000,文化核心区
38,39,112.968443699999995,28.204472735200000,文化核心区
39,40,112.968626916999995,28.204478710800000,文化核心区
40,41,112.968760105000001,28.204381424899999,文化核心区
41,42,112.969599803999998,28.204381179100000,风貌过渡区
42,43,112.970302438000004,28.204381424899999,风貌过渡区
43,44,112.964985733999995,28.204581424899999,商业活力区
44,45,112.966813064999997,28.204581424899999,商业活力区
45,46,112.967651845999995,28.204618766799999,文化核心区
46,47,112.967843700000003,28.204626127099999,文化核心区
47,48,112.968043699999996,28.204633799900002,文化核心区
48,49,112.968229554999994,28.204580507100001,文化核心区
49,50,112.968443699999995,28.204649145800001,文化核心区
50,51,112.968640414000006,28.204656692699999,文化核心区
51,52,112.968786068000000,28.204579363099999,文化核心区
52,53,112.969644368000004,28.204581424899999,风貌过渡区
53,54,112.970269533999996,28.204581273999999,风貌过渡区
54,55,112.965019767000001,28.204781424899998,商业活力区
55,56,112.966836611999994,28.204780639700001,商业活力区
56,57,112.968253257000001,28.204781424899998,文化核心区
57,58,112.968769683999994,28.204781424899998,文化核心区
58,59,112.969687727999997,28.204776265300001,风貌过渡区
59,60,112.970247012000002,28.204781424899998,风貌过渡区
60,61,112.965053803000004,28.204981449000002,商业活力区
61,62,112.966782984999995,28.204977597500001,商业活力区
62,63,112.968292969000004,28.204983692999999,文化核心区
63,64,112.968443699999995,28.205015126500001,文化核心区
64,65,112.968641964000000,28.204978495700001,文化核心区
65,66,112.968843933000002,28.204961922300001,文化核心区
66,67,112.969043700000000,28.204960755100000,风貌过渡区
67,68,112.969243738000003,28.204959586299999,风貌过渡区
68,69,112.969443699999999,28.204922484600001,风貌过渡区
69,70,112.969617956999997,28.204881424900002,风貌过渡区
70,71,112.969751582000001,28.205049166199998,风貌过渡区
71,72,112.970224506999998,28.204981424900001,风貌过渡区
72,73,112.965088512999998,28.205181424900001,商业活力区
